Heel_X,Heel_Y,Heel_Z,TOE_X,TOE_Y,TOY_Z,"sqrt(heel x, y, z)","sqrt(toe x, y, z)",PD_or_Non
-0.069096,0.091992,1.3361,-0.37035,-0.14712,2.1002,1.341,2.1377,0
-0.085812,0.10375,1.3162,-0.4357,-0.13691,2.2072,1.323,2.2539,0
-0.11568,0.12142,1.3083,-0.49707,-0.13254,2.3331,1.319,2.3892,0
-0.15742,0.14332,1.3233,-0.55424,-0.13743,2.4808,1.3403,2.5457,0
-0.2064,0.16601,1.3719,-0.60793,-0.15355,2.6498,1.3972,2.723,0
-0.25483,0.18478,1.4625,-0.65943,-0.18017,2.8353,1.496,2.9165,0
-0.29294,0.19491,1.599,-0.71008,-0.21291,3.0269,1.6373,3.1163,0
-0.31139,0.19336,1.7789,-0.76033,-0.24346,3.2085,1.8163,3.3063,0
-0.30439,0.18082,1.9932,-0.80893,-0.26005,3.3588,2.0244,3.4646,0
-0.27295,0.16327,2.2276,-0.85221,-0.24881,3.4534,2.2502,3.5656,0
-0.22724,0.1525,2.4652,-0.88401,-0.19581,3.467,2.4803,3.5833,0
-0.18698,0.16499,2.6905,-0.89643,-0.089483,3.378,2.702,3.496,0
-0.17907,0.21895,2.8919,-0.88158,0.076966,3.1722,2.9057,3.2933,0
-0.23245,0.32994,3.0631,-0.8341,0.30327,2.8481,3.0896,2.9832,0
-0.37074,0.50593,3.2016,-0.75363,0.58042,2.4201,3.2625,2.6003,0
-0.60425,0.74319,3.3062,-0.64635,0.89002,1.9205,3.4421,2.2132,0
-0.92344,1.0245,3.3732,-0.52486,1.2055,1.398,3.6443,1.9191,0
-1.296,1.3207,3.3938,-0.40635,1.4955,0.91019,3.8655,1.7973,0
